01-01-1931	PHI	1
01-01-1932	PSY	2
01-01-1933	ECO	3
01-01-1934	ECO	2
01-01-1939	MGT	1
01-01-1941	MGT	1
01-01-1942	MGT	1
01-01-1945	ART	6
01-01-1946	ART	10
01-01-1947	ART	13
01-01-1948	HIS	8
01-01-1949	ED	12
01-01-1950	ED	10
01-01-1951	ED	12
01-01-1952	NUR	12
01-01-1953	ENG	14
01-01-1954	ENG	14
01-01-1955	ENG	18
01-01-1956	ENG	18
01-01-1957	ENG	16
01-01-1958	PSY	17
01-01-1959	PSY	32
01-01-1960	ENG	48
01-01-1961	ENG	57
01-01-1962	ENG	84
01-01-1963	ENG	111
01-01-1964	ENG	157
01-01-1965	ENG	227
01-01-1966	ENG	281
01-01-1967	ENG	338
01-01-1968	ENG	371
01-01-1969	ENG	444
01-01-1970	ENG	564
01-01-1971	ENG	468
01-01-1972	ENG	460
01-01-1973	ENG	503
01-01-1974	ENG	511
01-01-1975	ENG	593
01-01-1976	ENG	601
01-01-1977	ENG	558
01-01-1978	MTH	818
01-01-1979	MTH	968
01-01-1980	MTH	1048
01-01-1981	MTH	1311
01-01-1982	MTH	1404
01-01-1983	MTH	1658
01-01-1984	MTH	1980
01-01-1985	MTH	2157
01-01-1986	MTH	2582
01-01-1987	MTH	3175
01-01-1988	MTH	4116
01-01-1989	MTH	5734
01-01-1990	MTH	7750
01-01-1991	MTH	9176
01-01-1992	MTH	10811
01-01-1993	CHE	13324
01-01-1994	CHE	13725
01-01-1995	CHE	13494
01-01-1996	CHE	12836
01-01-1997	MTH	11779
01-01-1998	MTH	12098
01-01-1999	MTH	13168
01-01-2000	UGC	13004
01-01-2001	UGC	14295
01-01-2002	UGC	15677
01-01-2003	UGC	16069
01-01-2004	UGC	15957
01-01-2005	CHE	16219
01-01-2006	CHE	16862
01-01-2007	CHE	17109
01-01-2008	CHE	17922
01-01-2009	CHE	18306
01-01-2010	CHE	18620
01-01-2011	CHE	18970
01-01-2012	CHE	20209
01-01-2013	CHE	21070
01-01-2014	MTH	20802
01-01-2015	MTH	20937
01-01-2016	MTH	13139
